cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
77,Cacau,causér,,,,,,,,,,,,,,,,,,,,,
78,Sauvagerie,Sauvages,la Sauvagerie,Pa-,Femme-Sauvage,,,,,,,,,,,,,,,,,,
79,ain,Mai-,Fontainebleau,"se-
maine",maine,Lorraine,Comédie humaine !,,,,,,,,,,,,,,,,
80,caleçon,Bengale,Mazas,Magdalena,,,,,,,,,,,,,,,,,,,
81,musée de Versailles,sailles,volaille,Versailles,Canailles,bataill,Travaillez,,,,,,,,,,,,,,,,
82,Sainte-Vierge,rue Sainte-Anne,Sainte-,Sainte-Pélagie,Sainte-Geneviève,du=,"Sainte-
Chapelle",,,,,,,,,,,,,,,,
83,Percepteur,Précep,Précepteur,S,l’'examinateur,Acceptez,Docteur,,,,,,,,,,,,,,,,
84,tricorne,Autrichien,Richelieu,UN,Autrichiens,Fumichon,,,,,,,,,,,,,,,,,
85,paris,vêque de Paris,Paris,Parisien,,,,,,,,,,,,,,,,,,,
86,Billy,Chantilly,Filly,Andilly,Neuilly,,,,,,,,,,,,,,,,,,
87,brune,Lune,mune,Jaune,,,,,,,,,,,,,,,,,,,
88,Palais-Royal,Palais-Royal !,Palais,"Palais-
Royal",théâtre du Palais-Royal,,,,,,,,,,,,,,,,,,
89,Mille,Æcharmilles,Milles,Millier,B,,,,,,,,,,,,,,,,,,
90,gie,Doucement,Mrodigieusement,Luxe-,,,,,,,,,,,,,,,,,,,
91,Arc de triomphe,Arc de triomphe un cheval mort,Arc de triomphe et la grande avenue,,,,,,,,,,,,,,,,,,,,
92,Chapeau,chaperon,Chaïlily,,,,,,,,,,,,,,,,,,,,
93,Corse,corées,Orsay,Melun,,,,,,,,,,,,,,,,,,,
94,Variétés,Charivari,samovars,,,,,,,,,,,,,,,,,,,,
95,Is,Cercle,Clerg,Clerc,bercé,Cléry,,,,,,,,,,,,,,,,,
96,Ons’,jurisconsulle,Oudry,Constantinople,Flocons,gascon,Considérant,Monseï,Conservatoire,,,,,,,,,,,,,,
97,Pologne,Boulot,bois de Boulogne,Loulou,Boulogne,la Pologne,BE,,,,,,,,,,,,,,,,
98,Brasseur,s’embras-,l’'embrasser,l’'embrassàät,s’'embrassent,Gotha,,,,,,,,,,,,,,,,,
99,Flacourt,Betancourt,Nonancourt,nankin,d’York,Nonancour,,,,,,,,,,,,,,,,,
100,hôtel de Nantes,hôtel des Affaires-Étrangères,Affaires-,mer M. des Aulnay,,,,,,,,,,,,,,,,,,,
101,Etranger !,Grands,orang-outan,rangè-#e,Grange-Batelière,Suède,,,,,,,,,,,,,,,,,
