cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
224,Gueusard,HumîﬁtArd,l‘enseigne Ward,Ward,,,,,,,,,,,,,,,,,,,,
225,wampums,wigwam,W‘Q‘mmm,amm,,,,,,,,,,,,,,,,,,,,
226,"‘

XX
L’",L’,L’ON,l’,cl’,,,,,,,,,,,,,,,,,,,
227,Con-,consi—,ﬂcon,convi—,cons—,conso—,,,,,,,,,,,,,,,,,,
228,éc1a,Proc1-it,c11rosse,olﬁc1e15,c1,,,,,,,,,,,,,,,,,,,
229,Contrecœur a Jean—Pol,Contre-,recon—,Montréal,entre—,Contrecœur,CONTRECŒUR,,,,,,,,,,,,,,,,,
230,péiil—,édil,utilis,Libre,Galil,Liv,Alil Jan-Pol,pays civilisés,Lil,,,,,,,,,,,,,,,
231,Vin et-dix,Ïvingts,vingt—,Washington,Vingt-,,,,,,,,,,,,,,,,,,,
232,Virginie,vie!.,VI,Vie,,,,,,,,,,,,,,,,,,,,
233,à-,est-ù-dire,est-à-dire,,,,,,,,,,,,,,,,,,,,,
234,Rétendit,Rendez,m‘entendez,Attendons,atten—,attendez—,,,,,,,,,,,,,,,,,,
235,selle,—elle,Celles,réelle—,mademoiselle,d’elle—,Telles,Laquelle,Alle—,elle—,ÎBELLE,,,,,,,,,,,,,
236,-L,Saint-,Saint- Laurent,Saint—Laurent,ëf,Saint-Lau1ent,Saint-Laurent,,,,,,,,,,,,,,,,,
237,"W""""""""‘V",mäaÿ,nvu-nw,mä'nvu-nw—m‘v,,,,,,,,,,,,,,,,,,,,
238,"ile
Anticorps","W

‘",S,Anticorps,,,,,,,,,,,,,,,,,,,,
239,États-Unis,réta—,état,,,,,,,,,,,,,,,,,,,,,
240,"r',enc0t1e",sont1e,en1e,ent1e,Ent1e,,,,,,,,,,,,,,,,,,,
241,indiens,Indien,L’Indien,toldos indiens,indienne,Indiens,Dinwidie,d’un Indien,®,Dieppe,L‘indiﬁ‘érence,Ï' Indiens,Indien Delaware,mont1e1e indienne,pseudo-Indien,Indiennes,indien,desIndiens,,,,,,
242,ﬁnit,Enﬁd,Enﬁn,,,,,,,,,,,,,,,,,,,,,
243,south,toutd‘abord,depart,partez,Toutàcoup,Partons,Partout,,,,,,,,,,,,,,,,,
244,demi—couché,admir—,demi—mot,capi—,faci—,mi—,,,,,,,,,,,,,,,,,,
245,tv;—_«,bouche,- —- Tout ce qui te touche m’,Bouche,,,,,,,,,,,,,,,,,,,,
246,Chichiméques,Quels,Pre3que,touﬂ’ues,per10quet blanc,Ï sues,ques—,,,,,,,,,,,,,,,,,
