cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
65,Percepteur,Précep,Précepteur,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,tricorne,Orientaux,Autrichien,Richelieu,Autrichiens,,,,,,,,,,,,,,,,,,,,,,,,,
67,conseil général de l'Aube,Aube,Rubens,Jn,Beauté,l'Aube,Be,BE,,,,,,,,,,,,,,,,,,,,,,
68,wrères-Provençaux,"Trois-
wrères-Provençaux",Trois-Frères-Provençaux,Provençaux,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Olympe Regimbart,Regimbart,Regim=,Flambart,Regimbertx,Regim-,,,,,,,,,,,,,,,,,,,,,,,,
70,Palazot,croyais,falbalast,croyait}.,Palais-Royal,Palais-Royal !,Palais,"Palais-
Royal",pont Royal,théâtre du Palais-Royal,,,,,,,,,,,,,,,,,,,,
71,Hrôle,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,faubourg Poissonnière,Poissonnière,rue Paradis-Poissonnière,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Arc de triomphe,Arc de triomphe un cheval mort,Arc de triomphe et la grande avenue,È,,,,,,,,,,,,,,,,,,,,,,,,,,
74,etle,Gilet,ctâle,Muet,Mieté,Etun,Let,Etle,Châtelet,châle,"ets""y",,,,,,,,,,,,,,,,,,,
75,"République b

me paraît vieille",notre République,République b,République,Républiquelh,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brasseur,s’embras-,l’'embrasser,l’'embrassàät,s’'embrassent,,,,,,,,,,,,,,,,,,,,,,,,,
77,Poncif,Ponia,Opposi-,Po,po,pol,4 Pomadère,porn,Pouce,Napowr,Impossible,Oppo=,Japon,,,,,,,,,,,,,,,,,
78,Écosse,æwhasse,Passe,Colosse,Pâlisserie,Suissesse,Laisse,Suisse,Presse,Masselin,suisse,,,,,,,,,,,,,,,,,,,
79,gris-perle,fJ,bal des Tuileries,Tuile-,lesofficiers,Tuileries,galerie d'Orléans,Fouquier-Tinville,dôme des Tuileries,jardin des Tuileries,ux Tuileries,,,,,,,,,,,,,,,,,,,
80,Osage,Wlavantages,D,Sauvagesse,"vi-
Mages",Femme-Sauvage,,,,,,,,,,,,,,,,,,,,,,,,
81,Comines,Écolé,co=,com,communauté M,Vicomte,Mcompagnie,CO,comle,Corromps,Comprenez,,,,,,,,,,,,,,,,,,,
82,Change,Ar-,Changar-,Changarnier,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Bouttevilain,La Fougère,Boutron,Houte,Foute,Écoutez,Ecoutez,,,,,,,,,,,,,,,,,,,,,,,
84,Cercle,Clerc,Clere,Mlivrer,Srecle,ler,,,,,,,,,,,,,,,,,,,,,,,,
85,théätre,théâtre Bobino,théâtre du,Bobino,,,,,,,,,,,,,,,,,,,,,,,,,,
86,quai d'Orsay,Corse,Orsay,Rs,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Peuple,Fleurs,Onleur,fl,Meurs,,,,,,,,,,,,,,,,,,,,,,,,,
88,l’'éduca-,L’,l’,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Prusse,Russe,Russes,Russie,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Pussardier,Æs,Picardie,Dussardier,Dussar-,Poissarde,,,,,,,,,,,,,,,,,,,,,,,,
91,Adieu,Pradier,"Hôtél-
Dieu",Adjugé,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Clubstick,voluplueux,Lu,LU,Salut,Melun,Unlustre,,,,,,,,,,,,,,,,,,,,,,,
93,Montereau,Longjumeau,Valle-de-Montereau,Moreau,port de Montereau,,,,,,,,,,,,,,,,,,,,,,,,,
94,miarole,Gironalé,Pierrot,trot,Roï,Hippodrome,Ro-,Roméo,Ro,Rome,Trocadéro,rouen,Rose Bron,Troplong,Syloro,Proté-,,,,,,,,,,,,,,
95,"Château
d'Eau",Châte-,Chapeau,Château-d'Eau,Châteauroux,le Château-d'Eau,Mrinceaux,,,,,,,,,,,,,,,,,,,,,,,
96,etil,Tibi,Etil,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Chambord,champagne,Cham-,Cham,Alham-,suischagrin,Champs-,Champagne,Chaïlly,Béchamel,Forchambeaux,Gotha,,,,,,,,,,,,,,,,,,
98,Gorge-au-Loup,fau-m,Figu-,"au-
tre","au-
res",ru-,Au- P,Fu-,Aujeu,au-,au-#,pau,hau-0,"au-
re","Gau-
therot",Au-,,,,,,,,,,,,,,
99,Saint-Cloud,Saint-Gervais,île Saint-Louis,Saint-Valéry,Saint-Anne,chapelle Saint-Satur-,Saint-Roch,notre Saint-Père,Saint-Paul,Sainte-,Saint-Louis,"Saint
Ferdinand",Sainte-Pélagie,Saint-,quai Saint-Bernard,Saint-Thomas,Saint-Nicolas,Saint-Jacques,rue Saint-Hyacinthe,"Saint-Satur-""
nin",Saint-Germain,Saint-Simon,Mont-Saint-Michel,Saint-Marceau,Saintonge,Saint-Honoré,Saint-Antoine,"Sainte-
Chapelle",,
100,d’,d’York,York,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,bp,Es-tu,As-tu,As-tu cent,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Marlotte,geail,Chaillot,Mail,Marseillais,Maillot,Gaillon,Larsillois,"porte
Maillot",,,,,,,,,,,,,,,,,,,,,
103,rue du Marché-aux-,Marché-aux-,Beaux-Arts,Mare-aux-Fées,Marché,,,,,,,,,,,,,,,,,,,,,,,,,
104,pälir,lip-fraoli,Lil,im,Lélia,Lim,,,,,,,,,,,,,,,,,,,,,,,,
105,rue Joubert,Moruit,Ru,Rumfort,brume,rue Rumfort,rue Royale,,,,,,,,,,,,,,,,,,,,,,,
106,manche,punch,la manche,,,,,,,,,,,,,,,,,,,,,,,,,,,
