cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
80.0,revolta,Revo-,quai Voltaire,,,,,,,,,,,,,,,,,
81.0,Persan,perse,operer,Dumersan,perail,,,,,,,,,,,,,,,
82.0,meltre,pltre,ultrefois,abaltre,,,,,,,,,,,,,,,,
83.0,tristel,Pwris,aris,Charivari,Parisien,Paris,Mlarie,soie gris,aristocratel,vee h Paris,l2aris,,,,,,,,,
84.0,ligne du Nord,Nord,du Nord,gne du menage,,,,,,,,,,,,,,,,
85.0,aggravee,AVEz,AVez,pave,,,,,,,,,,,,,,,,
86.0,Francais,anca,Comedie-Francaise,Francaise,Buzancais,,,,,,,,,,,,,,,
87.0,-  Ouil,-  Ohl,Ouil,- OUi,Oui,,,,,,,,,,,,,,,
88.0,Change,Changar-,La revocation du general Changarnier,Changarnier,ar-,,,,,,,,,,,,,,,
89.0,Sphinx,la chine,Chine,chicards,chine,Chinec,lchira,,,,,,,,,,,,,
90.0,Debardeuse,Debar-,la Debardeuse,l Dehardeuse,Dbardeuse,,,,,,,,,,,,,,,
91.0,l3anne-Non-,sala l3anne-Non-,Non-,,,,,,,,,,,,,,,,,
92.0,lanternes prbs des lanternes,Jardin des Plantes,"lanternes vnitiennes accrochees 
des poteaux iormaicnt",Jardin des llautes,Jrdin,,,,,,,,,,,,,,,
93.0,San,san,pysan,Sans,sangl,Sane-et-,,,,,,,,,,,,,,
94.0,compgnie,pagnie,pagnon,coipagnie,,,,,,,,,,,,,,,,
95.0,Travaillezl,ravailleurs,voleurslon,Avais L,,,,,,,,,,,,,,,,
96.0,Boulogne,bois de Boulogne,Bouloi,dCcbarque  Boulogne,,,,,,,,,,,,,,,,
97.0,Dit,Dit-il,dit2,Dittmer,,,,,,,,,,,,,,,,
98.0,sentan,SEN T IMENTALE,SE NT1MENTALE,SENTIMENTALE,ENTALE,TIMENIALE,SENTI,sSENTIMENTALE,sENTI E NIALE,SENTIMENTA IL E,LuCIE0N SENTIMENTA,SENTIMTENTAILE,sENTIMENTALE,SENTIMENTAILLE,,,,,,
99.0,Avança,Van-,mlavancer,,,,,,,,,,,,,,,,,
100.0,Pourquoi ma lpublique,ourquoi,Pourquoi t'acharnes,Quoi?n,,,,,,,,,,,,,,,,
101.0,bete-lh,cte-l,bete,,,,,,,,,,,,,,,,,
102.0,arrivel,barrirc,Arriv,Vive,"aH -
voir larrive de l'oncle Barthelemy",enveloppee,,,,,,,,,,,,,,
103.0,OÙ es-tu,p1es-,Es-tu,Attendrais-tu ton lidalgo,Es-tu?,,,,,,,,,,,,,,,
104.0,Vlour,lourdes,veloursl,Loure,Loulou,,,,,,,,,,,,,,,
105.0,dressce,messc,lissc,,,,,,,,,,,,,,,,,
106.0,ourgogne,Bourgogne,,,,,,,,,,,,,,,,,,
107.0,Flanque-la dehorslon,Salamanque,Flanque,Blanqui,Banque,,,,,,,,,,,,,,,
108.0,Bien,Eh Bien,bientl,Combien,bien376,,,,,,,,,,,,,,,
109.0,Cygne de la Cvroiz,cygne,Cygne,,,,,,,,,,,,,,,,,
110.0,choseln,ppieres entrc-chose,chosc,,,,,,,,,,,,,,,,,
111.0,Somme,sommc,Sombaz,Commcntl,hommcs,,,,,,,,,,,,,,,
112.0,biographics,Progrs,eprouva,,,,,,,,,,,,,,,,,
113.0,- TRente-sept,trentel,-  Trbs,laltirerent,,,,,,,,,,,,,,,,
114.0,htel,l0tel,0tel,propricte do lh0tel,,,,,,,,,,,,,,,,
115.0,S-I,,,,,,,,,,,,,,,,,,,
116.0,Pouce,appouva,Pou,Pour-,pouR,pouIr,,,,,,,,,,,,,,
117.0,"Panora-
bas",Panora-,,,,,,,,,,,,,,,,,,
118.0,Iamour,Amourl,Amour,,,,,,,,,,,,,,,,,
119.0,comprilt,mpris,prilt,,,,,,,,,,,,,,,,,
120.0,Vicomte,Appelle-moi Vicomte,vicomles,,,,,,,,,,,,,,,,,
121.0,usqulau Louvre,Au Louvre,Louvre,0me du Louvre,,,,,,,,,,,,,,,,
122.0,qand,ande,uand,candelabres,candideslo,Grand,brigand,,,,,,,,,,,,,
123.0,poudrc,Oudry,pre Oudry,Odry,,,,,,,,,,,,,,,,
124.0,pnrtit,Pnr,,,,,,,,,,,,,,,,,,
125.0,Arrtte,mur arrtta,aerrtri,,,,,,,,,,,,,,,,,
126.0,Anjou,acajou,Aujourd-,journce,Sourdun,toujoursl,,,,,,,,,,,,,,
127.0,Olympe,llisbeth-Olympe-Louise HRoque,llisbeth-Olympe,L'Olympe,,,,,,,,,,,,,,,,
128.0,Gorge-au-Loup,gorge-de-pigeon,,,,,,,,,,,,,,,,,,
129.0,Essniens,Patience,tien,Tiens,Amiens,Iense,Deviens,vIens,,,,,,,,,,,,
130.0,Osna,llosnette,Hosnette,con nette,Hosnelte,,,,,,,,,,,,,,,
131.0,ger,dunger,Auger,Dunod,Mlichiel-Ange,,,,,,,,,,,,,,,
132.0,toil,Toi,toilon,,,,,,,,,,,,,,,,,
133.0,trèS,Près,"après520
L",,,,,,,,,,,,,,,,,
134.0,reveni,Venise,do Venise,Wenise,venit,,,,,,,,,,,,,,,
135.0,Unlustre,Gare ai lustrel,,,,,,,,,,,,,,,,,,
136.0,mutineriec,Fr4lerie,tine,,,,,,,,,,,,,,,,,
137.0,Presi-,apres la bire,lesiusils,Presles,Pressel,Vepres,Presilent,,,,,,,,,,,,,
138.0,aisserie,serieux,Ptisserie,Ilbaissa,baissee,,,,,,,,,,,,,,,
139.0,cblouie,Louisefut,Louisel,,,,,,,,,,,,,,,,,
140.0,Desde,par-dessus des,par-dessus lahaie,,,,,,,,,,,,,,,,,
141.0,Salon,Salons,Allons-,,,,,,,,,,,,,,,,,
142.0,Considerant,considera,,,,,,,,,,,,,,,,,,
143.0,Pierrot,Pierre,Barrot,,,,,,,,,,,,,,,,,
144.0,vis-a-vis,visagc,vis-i-vis de,,,,,,,,,,,,,,,,,
145.0,Percepteur,Prcepteur,Accepte,bDocteur,,,,,,,,,,,,,,,,
146.0,rue Sint-Anne,rue Saint-Hyacinthe,rue Saint-Denis,porte Saint-Denis,rue Saint-Victor,rue Sainte-Anne,de Saint-Denis,,,,,,,,,,,,,
147.0,lisire,SIre,tapissires,Suriret,bire,Le comimnissire,retirez,hire,Sire,prcmire,sirE,,,,,,,,,
148.0,Borlelais,Orleans,La Borlelaise,,,,,,,,,,,,,,,,,
149.0,eNcore-,enCore-,,,,,,,,,,,,,,,,,,
150.0,Limpu-,importel,portunt,Impossiblel,curtel,,,,,,,,,,,,,,,
151.0,ux Tuileries,dome des Tuileries,bal des Tuileries,Tuileries,jardin des Tuileries,,,,,,,,,,,,,,,
152.0,rue le Fleurus,Fleurus,rue de Fleurus,,,,,,,,,,,,,,,,,
153.0,Bourbonnais,Sorbonne,connaissez?n,Lamennais,carbonaro,,,,,,,,,,,,,,,
154.0,lavie,Savigny,lIIerbigny,,,,,,,,,,,,,,,,,
155.0,"Mlme de
taiel",vtue de nankin,tuen,nankin,,,,,,,,,,,,,,,,
156.0,clerche,maltre-clerc,Clerc,ler,clerg,Clerc abusaitle,,,,,,,,,,,,,,
157.0,mont lescalicr,lescalicr,Californie,Tlicrs,,,,,,,,,,,,,,,,
158.0,Anda-,Irlandais,deMandai,Andalouse,Balandard,,,,,,,,,,,,,,,
159.0,bibicle,Miclel,bicn,,,,,,,,,,,,,,,,,
160.0,d6bordes  o,AborD,Bordelaise,Borde-,Bordelais,Bordeaux,,,,,,,,,,,,,,
161.0,vrole,ecria,proletariat,proletaire,Lovarias,,,,,,,,,,,,,,,
162.0,troisime,croisales,Trois-Marics,troisiime,Troisibme,Iois,Cvroiz,Trois-,,,,,,,,,,,,
163.0,Berlin,Enlin,Inlin,enlra,enlfin,,,,,,,,,,,,,,,
164.0,eligibles,Religion,,,,,,,,,,,,,,,,,,
165.0,Fr6dic,r6diger,sige,,,,,,,,,,,,,,,,,
166.0,Or6dric,Frd6ric,Or6d6ric,Fred6ric,Or6,,,,,,,,,,,,,,,
167.0,Churlotte,Marlotte,Parlotte,aott,,,,,,,,,,,,,,,,
168.0,precise,le Precepteur,Precepleur,Precep,,,,,,,,,,,,,,,,
169.0,-  Tenezl,lrenez,Comprenez,Prenez gardel,,,,,,,,,,,,,,,,
170.0,maintenanT,lointaine;-,Comaing,maine,"se-
maine",Demain,"sc-
maine",dEmain,Lorraine,Fontainebleau,,,,,,,,,,
171.0,disunt,MI arrondissement,NIl arrondissement,Givondis,,,,,,,,,,,,,,,,
172.0,musee de Versailles,Versailles,transfrer  Versailles,,,,,,,,,,,,,,,,,
173.0,lEurope,senleur,monleln,Onleur,,,,,,,,,,,,,,,,
174.0,courbe cn,Hlurons,Couronne,duro,courlt,couronnaicnt,,,,,,,,,,,,,,
175.0,meu--,emeute,meurs?n,,,,,,,,,,,,,,,,,
176.0,Polonaise,Polonais,,,,,,,,,,,,,,,,,,
177.0,Jouflroy,Jouffroy,passage Jouflroy,,,,,,,,,,,,,,,,,
178.0,"La
Madeleine",Made-,la Madeleine,delend,,,,,,,,,,,,,,,,
179.0,"au-
Êtes",Au-,au-,"Eau-
gile",,,,,,,,,,,,,,,,
180.0,Irancs,Franc,Francois I,France,Frangcuais,Franks,affranchiront,lip-fraoli,,,,,,,,,,,,
181.0,Champs-Elysees,pyse,Champs-lilysees,Champs-,Ily,,,,,,,,,,,,,,,
182.0,t Seine,La Seine,la Seine,Seine,,,,,,,,,,,,,,,,
183.0,Nlle,trulles,mnolle,llle,Mlle,Flle,souflle,,,,,,,,,,,,,
184.0,Algerien,Algerie,geries Leloir,Ibcrien,,,,,,,,,,,,,,,,
185.0,Pardon,Gaspardo,,,,,,,,,,,,,,,,,,
186.0,Iysteres de Paris,c0te de Sourlun,c0te de Paris,cruinte de deplaire,c0te de Chailly,cte de Paris,,,,,,,,,,,,,,
187.0,Vesuve,Villeneuve-l'Archevêque,Ineuves,,,,,,,,,,,,,,,,,
188.0,la Renaissance,sance,Imince,Lextravagance,ressemblancel A,sanc--,,,,,,,,,,,,,,
189.0,Eugne,Dagneaux,Bugneaux,,,,,,,,,,,,,,,,,
190.0,reparul,Parle,Parly,,,,,,,,,,,,,,,,,
191.0,Praslin,Baslin,,,,,,,,,,,,,,,,,,
192.0,Morelly,Chantilly,Billy,Filly,Andilly,Chailly,Neuilly,,,,,,,,,,,,,
193.0,c::::::t,c:::::::t,t:::---,,,,,,,,,,,,,,,,,
194.0,atalogue,Atala,Catau,,,,,,,,,,,,,,,,,
195.0,martre,boulevard Montmartre,Montmartre,Chartres,rue Montmartre,,,,,,,,,,,,,,,
196.0,DOUAI1NON,gnonnc,Canonniers,,,,,,,,,,,,,,,,,
197.0,Mloulin-Rouge,Mlorgue,Peaux-Rouges,roulte,,,,,,,,,,,,,,,,
198.0,lumides,lumikre,lumire,Fumichon,alluma,,,,,,,,,,,,,,,
199.0,Romeo,Hippodrome,Ilippodrome,,,,,,,,,,,,,,,,,
200.0,Angelmarre,Delmar,Delm,,,,,,,,,,,,,,,,,
201.0,vagabondge,bonds,Mostaganem,,,,,,,,,,,,,,,,,
202.0,bitns,lbitit,jctit,definitive,,,,,,,,,,,,,,,,
203.0,Conference,Regence,vengence;-,Intelligence,siege,faience,lexislence,,,,,,,,,,,,,
204.0,lanoblesse,passee,blessee,,,,,,,,,,,,,,,,,
205.0,rideuux,Ilesperides,gueridon,,,,,,,,,,,,,,,,,
206.0,Amerique,piquees,l'Amerique,Esthtique,afrique,fabriquelo,Mriques,Amérique,polytcchnique,Belgique,,,,,,,,,,
207.0,Heudras,madras,Madrid,,,,,,,,,,,,,,,,,
208.0,Saumon,bDaumont,aumone,,,,,,,,,,,,,,,,,
209.0,Napo,Napolon,patre sa capole,Monopole,Napoleon,Napolion,Apollonie,Napo-,,,,,,,,,,,,
210.0,le soleil,leil,,,,,,,,,,,,,,,,,,
211.0,licole,Colui,l1'Icole,Icoles,,,,,,,,,,,,,,,,
212.0,plutt,pluic,-  Salut,,,,,,,,,,,,,,,,,
213.0,amateursl o,Maternite,mateclot,Iratevnite,,,,,,,,,,,,,,,,
214.0,uis,Puisqu,Inquisition,.Puis,buis,,,,,,,,,,,,,,,
215.0,Ohe l,lBoheme,boheme,Boheme,,,,,,,,,,,,,,,,
216.0,Iort,cortge,Lecornu,Corbeil,corset,,,,,,,,,,,,,,,
217.0,el l,el des galas,Las,mero pueblo del mundo,terrompu des grenouilles r6pond,,,,,,,,,,,,,,,
218.0,Arn0,Barnais,Arntu,,,,,,,,,,,,,,,,,
219.0,coUp',coucou,bicoue,,,,,,,,,,,,,,,,,
