cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40
54,Manoel Duarte,Manoel uarte,oManael Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,l'ara,alravez do casaraio,"bai
ara","palxa0 de grahdezu
barhara",lJltra-mar,lraraes,Par;ira,xe equcbrara cuni,ara,Jaraudiu,Cumaras,"at
Araj",Iara,d'Azuara,Iaradiula,Hra,IPara,Cara-,tartura ji,"colsl
disparates",Snf IRartr,aularrad,arraial seguro,Elduara,l'Arraz,uarmaraln,braro,Azurara,lPara,larar,puara,arranue,Parahcens,,,,,,,,
56,estreito dc Canta-Pcdra,valle estreito dc Canta-Pcdra,pcdra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,corredo,Correu,"t1
serredo",Aorrecido,Yedor,"correia
dum1 latego",Sbedores,corrodor,corredr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Santa-lrrneia,Santa lreneia,Tor de Santa lreneia,Santa lrcneia,Sonhorio de iSanta lreneia,Santa lrenecia,"Santa
lreneia","Santa lIre-
neia ...",Santa-lreneiu,lreneia,Santa-lreneia,Santa-lrneia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Castellto,"Mastard
acautelladamento",Castella,Capellao,castellania famosa,canellas,Castello de Peronnc,Castollo,"CTeatua
coo ellal",Castlla,bagatellas,Castellos,Capella,i cautela,Castello,,,,,,,,,,,,,,,,,,,,,,,,,,
60,gre,greda,gresa,Egrcja,Fgreja taio fcia,gre amael,to negre,"ln
gr0sso",greja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,olle da orelha,ponta olle da orelha,voreds da qulintn,"ma revoa-
da de perdizes orggueu",pobe da vclha,Poro da Covilhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Depais,Iais,oraia,miais,liaI0'C,MIais,IAIES,MIais antigo,Hiscnia,Iais alto,nio alludamos Iais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,cono vos d'ave,concha,Cono,cono,d'ono,Constantinopla,Lconez,Lpo con,Congo,conhcei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,soltarl,ilis solta,voltaris,vao soltarl,soltar?-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Entio,furiosment,senti-,kntio,"Ienti-
dio",sangue.- Entio,"ntendo
tiio",Fntio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Vo-,"Vo-
tos",uvo,I)o-,l'o-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,ula,ul,"eino
popularisuala",UCrisnula,Populaea,Mul-csala,la r0xa,co ula,Sul,mascula,lacr,Ilbeiiula,Denuladot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
