cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40
266,"sc de-
II0O'aYa",k s6 de-,s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Tcixeira de Carredes,Carreira,tradieiol de desatulhar,"ribeira de
Crede","Teixeira de
Carredes","freixos pcla bcira do ria-
1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Goveno Ci-,"Go-
verno Civil",Governo Civil-fervera n'elle,inllueneia do Governo,"Go-
vern Ciil",Governo Ci,tverno Civil do braeue,gaverno,Governo Civil,Governo Ciil,Governo,Civil,pclo tGuverno,Gaoverno,Coverno Civil,Govorno Civil,Govern Ciil,Governo Ciyil,,,,,,,,,,,,,,,,,,,,,,,
269,u(uella martcha,Portolla,lortella,v,sortel,Portella,i Portolla,portello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,InrUnCuS,M1,InCm1 InrUnCuS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Noella,Novclla,Novellasinh,naqtuella nova,Novellas,Naovella,Novellal Co-,Novella,Nwvella,vella,vivem I'ella,Novellal,Novellia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,incendio do Pala-,fundo do valle,doeo paz,"incendio do Pala-
cio",tdo pepin0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Mlajor,Mlaio,Mlaricas,Mlama,Mlarte,Mlasteiro,Mlas eu ji sabinl,YV,Mlas,Mlacheque,Mlas udo,Mlaseate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Fx,lomba do outciro,U jardim da lorre,Terreiro da lLoua,Terreiro da Lou,Terreir l ILuuca l,chio do Terreiro,ladr uoiro dcve recelr carta dn Preiru,Terreiro da ILouca,u MIralo da llerva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,barhacans,barb,ba,barbeava,Tabacaria,cirado da arbacan,barbacan,"lem-
bar",harba,portello das harbacans,abangie,Bar-,arbacan,barbaean,postiga du barbacan,Bayao,Tabaca-,,,,,,,,,,,,,,,,,,,,,,,,
276,Capital,Capilulos,Capitnlo,Capitanea,Titulo,Cupitul,"Lisboa tres Capitulos
elle",Capitulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Christaos,Christs,Christo,Egreja de S. Christovo,Christais,Principes da Christandade,Christovan,Hrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Escte,mctte,"es
eutel m",Crtes,tesla,Certesa,ttes,tebres,C0rtes,fcrvuru picattte,qtte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,loneo,"Conselhos do
Baneo",Ieonel,Coronel Iraneoso,formoso Leonel,Synonieo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,hitos,Feitosa,Heitos,FE,Feitos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Pogo,m go,Ulgoso,Gomes,Go-,"agoa do
go",tago,"imni
gorda",fgo,go,Thiago,aggo,ygOja,sc socgo,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Nagarosas,horoieos,Temerosa,u roponte n'ossa,Nagarosamontc,roshaal,Pedrosa,grossu,Iros-,Rosa,"lampcjos ro-
sados","5I
orosa",Vidros,kRosa,Inerosos,Scvcrosa,,,,,,,,,,,,,,,,,,,,,,,,,
283,Alferes,agua fresea,"maTia
tra tres
destemido-qne",Trez,estrebuchaudo,Iebres,Alfcres-or,Redacges,lheres,Tres,Tretesinio,ltstre,retrocess0,resoou,tres almogavres,retrescou,,,,,,,,,,,,,,,,,,,,,,,,,
284,Felost...,loj...,Sao pecegos...,I6,TiI6...,us pcs...,... Alm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,coa,secco,curapco,escoeo,CO,Cusco,cco co,cOco,Couraeu,Arcos,Cognae,buco,copi0-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,dubravu,Bravol,solidao favoravel,Bravo,brav0,avor,bravol,bravio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,"Mel-
gaco",Maco,acorcuva,lraco,tum pataco,Iraco,Paco,Acor,ac,aco,quietaco,raco,Faco,clueaco,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,ILLILSTIE,civilisuaio,IILILETIE CASA,ILI.LYTI,ILILISTIE CA,ILLITI,ILISTI,IILILITIE,Ilis-,tutiliares,ILILISTIE,Tili,ilis,"d
tili",ILLISTIE,ILISTIE CASA,,,,,,,,,,,,,,,,,,,,,,,,,
289,gavetao,Gazelc,Gazecta do Ioreo,Gazeta,Gzet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,livremenle,lenol,Lenda,lentaenle0,len,Menules,w len:o,Mlen-,leneol,"si-
lencio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,toa-,"toa-
lha eom n","z-a-
L-","toa-
lha","pa-
lhioea","Fnu-
lno","a4pa-
nhas","loriga de ina-
lha","pa-
relha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,-Ag0r,pectg0s,g0,Ig0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Santa Ireneial,Aleaova de S.ta Ireneia,benta i sahida,Santa Ireneia,"Santa Ire-
neia",Ireneia,Santa Irencla,Santu Ireneia,Sunta Ireneia,santa Ireneia,Snnta Irenela,Pacos de Snta Ireneiu,"Santa Ire-
eia","Santa
Ircneia",Iadeircnta,Torre de anta Ireneia,"Santa
Ireneia",Santa-Ireneia,Santa Ireneia Iielmente,"santa
Ireneia",Paeo de tSanta Ireneia,Santa Ieneia,,,,,,,,,,,,,,,,,,,
294,veuda,g6da,burbudo,pclluda,Iaces barbudas,buda,mudruguda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,"va-
ranla",Canla-Pelra,pelra,Hlra-,Canla-Podra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Tahes,tamhem,"Tam-
hem",lstams,Tamhe,Tamhcm,tamhen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Aiionsinos,Iino,IilNin,pos linos,Iinos,Inos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,lngge,Sangria,sange,sange...,Ionge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,ian0,n0 fundo,I N0,pahnn0,N0,n0,llymn0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,d'alliana,l'aeos d'Aellim,sellim,d'Aellim,d'm,imellia,Elim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Finta-e,Nntao,Fntao,Entao,Intao,"El-ei tem uta
quinta","pelu
cinta cm affago",Jricntal,quietaeao,kntao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Volteos,vossl,hlss,voss2,Vosste,poss0,Yosses,nossna,Nosse,voss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,taio,Naio,Iaio,Maio,naio estavaos,"nai
uzSSe",naio,Ai,"Ir-
nai","nai
stci",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Esgueira,ocheira,Mladeira,tdu,vizeira gradada,lacradu,apradu,eiradu,aJueira,Salgadeira,Duxira,"beml
esteirada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,justoln,botica,Justica,justificaya,Justiga,Justinu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Currepolencias,Venancia,maledicencias,inlluencia d'outru home,inlelligencia,cellencia,"cancelle
do",cnveniencia,inlluencia ce,Intelligencia,eleguncia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Uoimra,Loimbra,Coibra,Coimlra,coIml m1,Coimba,Cuimbra,b-,Coirbra,Coimbrn,coira,Cimbra,Bispo de Coimbra,Coimbra,"Coim-
hra",Coim-,oimbra,Coimhra,"Coimbra
tcem",,,,,,,,,,,,,,,,,,,,,,
308,Iructczindo Iamircs,"Tructesintol
Confiae",Truetcsindo,nto Tructesinudo,Tructezindu,Truclesiudo,gruhindo,csfurucando,Tructesino,Tructesindo,Iructasindo,Tructezindo,Tructesindu,Tructcsindo,Iructesindo,Tructe-,Trctesindo,Tructesinudo,,,,,,,,,,,,,,,,,,,,,,,
309,IY,Yiya,Yil,"Gavonador
Ciyil",Ciyis,Ciyil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,t nanh,manhii,MIas de manhi,anhi,tanhi,Una mnanhi,Iuantas manhis,acopanhira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,hndr,bDr,arremessand,Mro du ndre,Alexandrc,"An-
dre, scm",Flandres,"andre
Elle",Andre,Andrc,reahotoand0,Mndrc,Dr.,Londres,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,ayo,Ms,msyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,nuito serio,Juizo,Inuito noa,Iuito,effcito,litotl,pcito,Iitol,IBrito,Inuito,acreditol,tnuito,uito,sequito,itompo,,,,,,,,,,,,,,,,,,,,,,,,,,
314,diantc,Romantce,"hane
cuidadosumentc",antcs,ent arantc,csantdt,mantd,Antcs,Tcso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,ulvorocadamente,pessiuamentel,"gentel
mlim tica",camnisus,Yicente,"Icalmente
s6",Iolgadamente,nicamente,Jiggciramente,52I,Positivamente,Ilamueente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Lisoal,risonll0,ttso,baiso,Alm d'isso,So,riso lcnlio,Lisoa,Iso,Iiscurso,Crisola,s0rriso-em,fugisso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,IncSI10,Aflnsinos,heguino,lBruno,mcninol,Sino,RsInS,Icino,Cmuolino,Hnsino,Trinoli,Sino de anlua,Ensino,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Lousadas,Asylo,I.uuzadas,Louzadasl,Louzadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,prcsloza despirilo,Ilois,Ilor,Gzet lo Irlo,ILouatasl,grilou,Iloin,peilo,Ilomnem,Feilos,Iloste,Ilo,AIlonso Y,loche azul la eilos,Ilojc,ilorir,,,,,,,,,,,,,,,,,,,,,,,,,
320,nenhua,Nunen,Nenhumal,Nenhma,Nenhm,lnveneao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Cavallei-,Cnvalleiro,pranchada de cavalleiro,braco do Cavalleiro,Cuavalleiro,"Ca-
vlleiro",Cavalleira,casa du Cavalleir,Calleiro,"An-
de Cavalleiro",Cavalloira,Cavalleir,Cavalloiro,Cavalleirol-Cuinhavam,avalleiro,Cavalleiros d'Ilespanha,Cavaulleiro,Uavalleiro,Cavalleiro,intimidate do Cavalleiro,"Cavallei-
ro de",cavalleiro,Cavalleiro-,"Caval-
leiro",avalloiru,"Cohl  Cavallei-
ro",Cavalleiro-quo,"Ca
valleiro",io do Cavalleiro,,,,,,,,,,,,
322,Parada,dua Arcada,uarda p0,plcparadu,dua Parada,ulla patadu,bua semeadura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,rclombou,Nou,I1ou,bou,Bo,Iisbou,You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Iorfual,Gaualo,uao tcm,uao,cgua,ua,egua,lraaua,Ceua,Mauael,Quamlo Ics,chua,lua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Manh,Amanhi,aanhar,nanhava,chamma,Amanha,tnanhal,"comeeo da
campanha",manhai porm,"cutello minha dce matdre Hstevani-
nha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,d'Olivcira,Olivcira?,Ulivcira,Oliycira,Olivcira,tlivoirn,Hlihecira do Coice,libcira,Ciil de Olicira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,S.,"S. lo-
mo","r,,- l",u S. l,lu l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,susl0,buschl,Atlus,tirus,us puhhos,amhus,Cuseo,encolhera us hombrus,us,Us,quusi,Yuss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Ietras,Mlagistrattra,transvira,"Cintra
Il","oittra
scut","Atraz o tropcgo Ordonha
geiia",traeos,ultragge,claustra,Cintra,traidr,Trans-,tradici,lcttra,tratira,alastrira,"Trans-
vaal","ITra-
go",tra,ottra,lmperatriz,Atraz,"Cnde d
Trava",caontra,transpoz,utr'ora,lettra,trahid rmmec,"tratira or  me-
nlino",,,,,,,,,,,,
330,Iervor,d'arvores,hocdo,aa Arclivo,arvorcdo,arvored0s,arvrecdo,Salcdor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Mlcndo,Cnlhido,tcndidol,pcndo,cnoravel ivcnda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,ltalia,Taholliao,"Palacio de gsto
italiano",vialio,Italia,Italianos,hortalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Montcmor,F,rmo,Zamora,emogao,dAmor,mo,moyeu,Mordomo-Mlr,cxclamou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Alcu,n0 sual'al,banhala,"Graal
Ila",alda,alr cupos,Alalou,"dbaixo la
eanal l alti lcvava",hengala,Ala-do,halas,altuc,talhla,Alal,Filal-,saladu,Hilal,prala,Al,suala,,,,,,,,,,,,,,,,,,,,,
335,Inesmo,Iner,"ine-
itaveis",Ineu,ineomodava,inealo,Ine,lagine,mne,Nem,nee inglez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,"brotuvn s
inesperadamcntc",uuirroquim,quairo,ui bciin,"Quinta
fcira",quintu,Provincia,quintciro,Irontcira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,II.LYIE,IEs-,RIIES,IIMIIES,RWIIER,AIIIES,RAMIIIES,IIES,Gies s-,RMIIES,HYMIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Dona-em,canar,condemnando,iarejando,Abandonada,estendid l t plitrona ii vurand,tmna cabana,co ahandonadus,donar,bandonar,dminando,nar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,eabide,caboea,cabeea,cubeea,aeabar,eabeea,rabear,meads,Aeaba,teaduearam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Licenca,Acadeicu,lica Sonta,Bica-unta,"Bica
St",Bica,picad0,Bicn-Sut,Fabica,Annica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,"rcimeira dos
mnorrioes",Primo,mnodu,opprime,horrifurcmn i prssa,primno,ue primorl So6,Primvera,Imnanos,rumnotr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,guardasolinho,espinguarda,effusoes,guardasoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Iecesvinto,Toin,Inento,Bnto,ji inuieto,antol  ruborsinho,Fingimento,intolesr.-,kF realnto,"Anto-
inho loreuo",Into,Intoleravel,vintcml,Iiccesvinto,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Oracas,Praca,lraca,Graca,graca do sveu,graca,Fraaca,Snr' D. Gracu,coracao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,velta das onze,"atravez tdas en-
teneas ovuhgelicas",Vendas,cuapc dc daso,rua das Ptgas,Tomnada da Bastilha,rua das Vendas,"rua das
Teeedeiras",rua das leccdairas,Peo das Iiehas,casa das louzudas...,hiqucia das otas,uas mesnadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,MIi-,IYMIES,IYMIIBES,IYMIIIE,IIYMIRH,IYMIIILS,IYIIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,aaquclle,"pur
aqucll lanee",Aqucllas,aquclla noltc de Castollo,Iaquclla,aquella claridadc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,larica,caIreaIl,Airica-,MIrica,Airica,Ihetorica,d'Airica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,suor,viuya,priuo de b,uo,Iuo,IUosa,Iuor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,"tanque da
pedra",banco de pedra,baneo d'entrade,Mraneo,baneo de pedra,ie pedra,"raoean-I
do u lcito de pau pret",baneo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,SC Io,Iiscutal,buscear tta,sc csse,scn,Sc,scgulia,scgo,cscopur,Scritum,Scrpftu-,sc,scet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,ncsma,ma,lnma,tma,Mafoma,nma,Maus,Ma,nama,mao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Castaheiro,Castanheira,companheiru,Castanhciro,"Castanhciro Palrioti-
heiro",Castanhtei-,cothanheiru,Pinheiro,Castanleiro,Castanheio,Castanheiro,Castanheciro,butarinheiro,Castanhiro,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,"Largo d`Fl-
ei",Largo d'El-el,ILargo d'Fl-lei,Lnargo d'El-Rei,Largo dEl-llei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Troia,iroya,Podro,iuror,Jutubro,uipproxime,"uI
bro",ale oulro retiro,subro,edro,rouba,homhro,sc Nro,qte ahro,ro,ehro,Pdro de Casiro,Numerou,tiro,,,,,,,,,,,,,,,,,,,,,,
356,Iidiulos,T-(niulos,Tibulo,Iulo,Iermulo,qIult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Vocs,Nocs,CS.-,uo vocs quizerem:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Yde este Claro-Sol,eal de Santu,Enxarez de Sandornin,Cuiomar de lLandim,langas de calnisa,Sonhorio de iSanta,Solar de Santa Ircncia-resistente,depaois de santos,"lagar de
nr",Solar de Santa,Senhor de Santa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,ouveia7 Ve,Geuveia,"J0ao
Gouveia",ouvceia,Ceuveio,Gouvcia,Gouveialn-,Gouvia,Gouveia,"Josd Gouveia
ji",Goueia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Arreda,carrelra,Tarrel,Enxarez,arremettida,atarefad,Carregada,Tarre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Cemiterio,Temerario i Carlos,cemiterio,"ue nio der-
ribara",Tomeario,Semanario,litlerario,Temerario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,F6ra,fraseo,Fr1,Franziu,FraIue henet,kFra,Fr,fra,Fra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,barrete vermelho,melha,ro vernelh,vcrmelho,Vermelha,vermelha le sade,semelhanga,"melhorira conside-
ravelmente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,ILlremcnle,lr,"sailro
iolle",utros ullre,ILreuco,ILLUSTRE,ILLRE,Alre,Ilres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Ieblte,cafie,Ieve,Iem,Ie,Iez,lrudieao,Mie,Iens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,dmiraa,aOh Ramires,"Mlen-
des Ramires",amira,Viconte Iamires,ameagira,Ramires- licando,Imires,Ramiros,Mioirama,"Paio Ramires
Pe",liamires largal,"RAMIS
Voces",Ramires,"raca
dos liamires lcpois",Iamires,Iesceram,"uIl
Hlamires",Ramiresl,bazio dos liamires,Hlamires,RAMIES,Paio Ramires,,,,,,,,,,,,,,,,,,
367,Joaquim da lParte,nhm d'Aquilut,bom Joio da Porta-a qus,Joaquim da Pota,bom Joio da Porta-a,"Jouquim da
Cpa",Joaqtuim da Porta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Manrique,mcxcriquice,"Ilenriqurcs
Ahalou",Ilnrique,MIoeambique,toriquete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,YII,IYIII,Iiga,II.ILTII,Iiuy Saloon's Iines,IIAIIIIIES,ILAWIIIINS,Iuiigo,ILI.IIIIH CAA,IAIIILS,Iiz,Tii,IIL.LITI  DE ISIIII,"IIIII
123
tm Aor enore",Y ILI.IIII,CUlII,Iibeiinh,Iit6,iim,Ii,IIAMIIIES,IILLSTIIE,Iicgcne-,xYIII,II.LLSIIIE CAEA,C.A1 I. IMIII,"ILLITIII A1 II AMIIINS
genebra","IAIIIH
-Sio Reis",III,XYIII,AIIl,IAMIIIIES,IIDE3,IIMIIIH,iin-,MA I I1IIIIs,"IIIIH
11",Iit,"IAIIILS
llento",,
370,spre affavel,proprielade,aspreza,schnpre,cts pretas,Preiru,sompre,selnpre,Pretas,preguica,"k
pre",esquego sepre,Fmpregos,prearava,serpre,oppressi da,pre,Iepreheusio,ipressiaonava,seupre,sepre,,,,,,,,,,,,,,,,,,,,
371,"arriei-
ros",Ierra,ferrol,Ierro,Ierozes,cerro,hezerro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,ohrigado,rapuriga coi ri0s,Wriga,Obriga-,Ohrigado,Obrigado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Meret,interessdo,cnternecido,"entere-
cid c",cntreter,Precisamncnte,cntrever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Corlya,Corliy,orli qt,jarlim,orli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Fabrica,abrissc,d'Abril,Abril,Abria,Alril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Viscunde,Yiscounde,Viseonde,ondec,Nisconde,Yisconde,Viscuonde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,elil,elIl,IuIlII,"Billio-
theea",muhilia,umilia',reconciliaga,Hlica-Ilo-,Billio-,Eilim,Villico,reeoniliaeio,lildzes,IILILSII CAA,Ili,IMIIlI5,ILI.II,lIl,Philippes,lilha,,,,,,,,,,,,,,,,,,,,,
378,Loureeo,Lourenco,ILourengeo-em,Louredo,lour,Lourenca,Lourenc,ILourenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,iidalgo.- l,"Fidalg
consenliu",Vidago,Fidulgol meu Fidalgol,"kFidal-
go",iidalgo.-,lidalgo,Fidalguia,Nidalgo,grituu o Fidalgo,Filho-d'Algo,Fildalgo,idalgo,idalgro,Fialgo,Fidalg,Fidulgo,Fidalgo,lidalga,Fidalo,Fidalga,tidalgo,fidlgus,Widalgo,,,,,,,,,,,,,,,,,
380,Hljlya-Ca,nuca,"I
Pcae",Ca-,eahca,Can-,"ma
ca",catmpo,emocao,Ca,caonfuso cancasso,Nacao,catmisa,Cam1a,eocao,,,,,,,,,,,,,,,,,,,,,,,,,,
381,lorre,Sahelor,aFlor da Tren,Ilorete,SUelor,l'ore,Auclor,louyor,eslorgo,eorrelor,calore,Ilores,lore,Iacil de rellorir...,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,quinlta,pr Walter Seolt,ais alta,jejltt,anlt0,Pilta,loi ompnnlta  pians,Mlalta,Yoltava,voltassve,lta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,beml,tatbem,iemlra,Tabemn,Beml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Emfim,Hmfim,kmfim,mfin,mfim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,innlo,IInl,vinlu,Inl-,Jaranlin,Inl,pergaminlo,Nl,Finlgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Sr,Irrc,srrir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,S0elor,"murxzello
imovel",ntesllo,Corvello,Leanlro  Bello,Gallo,Alloar,lLop0,lloe,Velloda,ehlaga nm tornzello,ji elo,lloutr,ello,Tordezello,Paelo,"Re-
bellos","corisear
de capellos",licbello cxiste,Mindello,Tello,Sbelor,,,,,,,,,,,,,,,,,,,
388,littwratura,Naturalmcnte,Littcratura,Litteratura,Litteralura,pratelcira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Andresinhol,Audrcsinho,d'estanho,Antresinho,Trtesinho,adresinho desbotalo,Andresinho,Esquadrinhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Noce,cocertur,mocetdo,Paroce,Coice,Yoce,Socega,Coce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Semre,sempro reformada,Mrremessado,"Inas
aio emrelcndemosl..",semre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Iutos,Iulito,totiu,jnuto,IutIuUira,tuto,Iuto,utl-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,kFu-,kF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,varandal,mandaran,Mtandarim,csada arrastanl,pedra da varanda,Iracejandao,i varanda,paranda,tindar,randa,alravessar da feuda,segurand,ba varanda,Mirandal,Arinda,"Casal do
Mliranda",caracolando,reburda da varanda,aranda,leante dessa varanda,varanda po,procuranda,,,,,,,,,,,,,,,,,,,
395,Governador Ciil,Governador Civill,"iovernador Civil, to nr",tavernador,Governador Civill Mas,goWernaa,"Governador
Civil-e",Gavternador Civil du listriceta,tGovernador Ciil,Governador Civill...,Governador,Governador Civil,"Governador
Civil",,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Alcira,Cavllciro,Cauvallciro,Caalliro,Cavallcira,Caalloiro Niol,Cavallcio,Cavallciro,galinete do Cavallcio,Cavallcirol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Tomoh,Tom-,rctomando,tomau,lloma,liomal,Toma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,apagadu,afaga4am,nhaga,GA,Gago,atiga,tGaga,Agasalhem,ga quanudo hega,Ptgas,Aga-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,pouc0,C0I0,Cc00s,C0,c00,C0I1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,--16 Corimle,Corimle,"Corin-
de",Cwrinde,Corinde,rins,enore Rico-,Curinde,Corinle,mrInrT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,loa,trolou,lodo bolsar,eautels du Loleria,Colonia da lotiea,Mlolle,collo da mae,Concillo de Toledol,Tolelo,lelogio-de-Sol,alol,Tlo,Loleria,lolge,Olo,"HIisloria de
IIerculano, o Bolo",louvadol,Moloar,Physiolo-,,,,,,,,,,,,,,,,,,,,,,
402,Crispola,DBispo,"Iae
do Bispo...",Bispo,"Ispi-
gal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Camaras,Lamara...,Presidente da Camara,amargradu,relogio da Camara,camape,Amarante,Melodrama,telegrammas,camadu de raagcns,tararaml raiamtaml,Paire Amaro,Camara,Caramha,Lamara,Camala,,,,,,,,,,,,,,,,,,,,,,,,,
404,lyra,Veras,Alcaide dAveyras,EY,Aveyras,Plavras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
