cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
188.0,Parabens,Paradou,Paraiso,Cabrais,paraiso,,,,,,,,,,,,,,,
189.0,INtI,Sintra,Sinto,Minta,,,,,,,,,,,,,,,,
190.0,furta,portao verde,Mortal,Morta,hortalica,DORTI,,,,,,,,,,,,,,
191.0,Aucla,cxclamotl,"exclamou
Gustavo.-Quando",issol-exclamou,,,,,,,,,,,,,,,,
192.0,Refugiada,Cumiada,Resumia,,,,,,,,,,,,,,,,,
193.0,Alcobaea,Alcobaga,Alcobagca,Alcbagca,"Brito de
Alcobagca",balcoes,Alcobagea,,,,,,,,,,,,,
194.0,Republica,replica,,,,,,,,,,,,,,,,,,
195.0,comogao,emogao,,,,,,,,,,,,,,,,,,
196.0,Europa,Upal upa,Nopal,,,,,,,,,,,,,,,,,
197.0,I1I11A,U  H I1It  1,I11,,,,,,,,,,,,,,,,,
198.0,Miserere,serena,tereno plano,Esereve-me,Renas,,,,,,,,,,,,,,,
199.0,aivida,Nutrida,rorbida,Brigida,pilida,,,,,,,,,,,,,,,
200.0,viccao,absolvicao,perfeicao1,Ldestruicao,prostituicao,,,,,,,,,,,,,,,
201.0,Tome,Toma,Tomar,Tetomara,Tomavam-na,,,,,,,,,,,,,,,
202.0,Vieia,praia da Vieira,VIEIRA,Vieira,,,,,,,,,,,,,,,,
203.0,"Amaro
compIetara",Amarol Tragc,"Optimol
Amaro",sreformar,"Amaro:- Ouea
voce",camara,Amaro,"Amaro paessou
o terpo",Amaro:-,"palre
Amaro",Amaro?1,Amarol,"Amaro
aot",Amaro jantara,Ribamar,"MA BU
Amaro",Amaro:--,Amaro-e,"coroal
Amaro",
204.0,desejo.- Ouve,desesperados:-,Desejou,desejio,,,,,,,,,,,,,,,,
205.0,Tot6d,Tot6,totda,,,,,,,,,,,,,,,,,
206.0,Arelia,Argelia,Amcelia,Relia,rel6-,,,,,,,,,,,,,,,
207.0,filhal Olha,Olha,lha,filhal,,,,,,,,,,,,,,,,
