text,cluster,cluster_corrected
Murgurite,113.0,
Meunet,114.0,
aueun,114.0,
--La jeunesse,114.0,
Neunet-sur-,114.0,
Outanir,115.0,
place,115.0,
ILaA,115.0,
ani-plaae,115.0,
plaft,115.0,
TUlsIkMk 1ANII,115.0,
c::BCONDB,116.0,
repondre,116.0,
approndre,116.0,
vindre,116.0,
viwreP,116.0,
leunne,117.0,
lunno,117.0,
Junne,117.0,
Iesnne,117.0,
Jeunne,117.0,
Jounne,117.0,
i unn,117.0,
launne,117.0,
Vars,118.0,
trouvara,118.0,
troeuva,118.0,
maisen,119.0,
faisais,119.0,
Isanre,119.0,
maieo,119.0,
maisan,119.0,
depurt,120.0,
depuia,120.0,
puiaque,120.0,
ceher,121.0,
etle poreher,121.0,
Aehetez,121.0,
Maehere,121.0,
caeher,121.0,
ehevet da,121.0,
hereher,121.0,
gaeho,121.0,
dangar,122.0,
egarde,122.0,
gargon,122.0,
hardia,122.0,
Iixiar,123.0,
lepre Iixiar,123.0,
Tixiar,123.0,
matra Tixiar,123.0,
Mapuuvrefille,124.0,
"puuvres
uo",124.0,
evelui-lhf,125.0,
tmps-lh,125.0,
luil,125.0,
rs-,126.0,
.'Geeseeeeee,126.0,
rs-y adeee,126.0,
tqui,127.0,
linquitulo,127.0,
quittee,127.0,
suita,127.0,
eonluit avau une bgutte,127.0,
mdecin,128.0,
m6decins,128.0,
m6deein,128.0,
chin,129.0,
Ioshine,129.0,
Jos6-,129.0,
Josiphine,129.0,
Jasphino,129.0,
Ormaeuux,130.0,
Ormeuux,130.0,
Ormaeuux aet san,130.0,
yeu eomma,131.0,
payetra eomptant,131.0,
Iu eompagnio,131.0,
oampagne,131.0,
ipussoeiee,132.0,
joeie,132.0,
Etehaeun,133.0,
shaeune,133.0,
ehaeun,133.0,
r6ehauff,133.0,
Etchaeun,133.0,
"II

L
- E",134.0,
mets-tei lh,134.0,
"I

L.

E",134.0,
la somme,135.0,
Ormenux,135.0,
Commae,135.0,
Comment,135.0,
Comment dane,135.0,
envoy6,136.0,
voyagek,136.0,
Agel,136.0,
Isaure,137.0,
