cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
110,ani-DE L'AlANSAS,somme ren-DE L'AIIKANSAS,c:.--,complele-DE LAHRANSAS,pa-DE L'AKANSAS,pre-DE LAIANSAS,LAKAN5AS,,,,,,
111,breche,beche,chene-liege,chevel,echo,,,,,,,,
112,Alrs,l'Europe,Gouveruemeuls de l'Europe,Europe,,,,,,,,,
113,A157,Jer0m,Etat de Sonora,senora,sepulcre,senorita,"anveeraoosent
-",Sonora,Moclsens,,,,
114,lhacienda,cienda,LHACIENDA,,,,,,,,,,
115,CI,c:::=,z::::-,z::::z,,,,,,,,,
116,Iadiens,Canadisn,Canadien,canp,Canadienne,,,,,,,,
117,"L'extremite
d'une estrade",extreme,trempee,extremitles,,,,,,,,,
118,Rio Gila,Aguilar,"capitaiue
Aguilar",,,,,,,,,,
119,mortlDE ILARKANSAS,LAlIKANSAS5,Aransas,interrom-DE LARKANSAS,IAKANSAS5,Arkansas,el,LARKANSAS5,oublielDE LARKANSA,AIKANSAS5,ARKANSAS5,,
120,campana,campagae,campague,camp,,,,,,,,,
121,Est,ain,Vaincue,Incas,saint-,Convaincu,,,,,,,
122,deterine,au-,Angleter,inveteree,Angleter e claux,Anglelerre,Etil,Angleterre,,,,,
123,gand,ganado,CGana-,Pana-,,,,,,,,,
124,In-l2,in-3,In-12,In-1E,,,,,,,,,
125,TTB,,,,,,,,,,,,
126,-iiiiiii.ii,Prompt,Linproiisioro,PROtCUE.LE,t23,,,,,,,,
127,Societ,anxiete,Iete,,,,,,,,,,
128,Tete,tete,LaTete,,,,,,,,,,
129,c0te du Cerro de la campana,"piste d' 
castle",grolte de la riviere,justel,piste des jaguars,rue de l'Abbaye,pise,piste de la,Ilisoia e la Hoyiu,,,,
130,Mezcal,triarcal,1Z,,,,,,,,,,
131,noux,Ooouhl,Voulez,nousvoulonsjouir,vOus,,,,,,,,
132,Apres,mee resultat,pres,epreues,"2--
aupres",yres,,,,,,,
133,Assini0oins,lassassin,Assis,,,,,,,,,,
134,raisonl936,gnais,vOyais,sais,"connaissez
- Oui",c0ce,MIais,venaison,jamais1,jaais,,,
135,penetra,cene,frenesie,renes,Fenes,Rafael,renonca,,,,,,
136,nomer,mepris,reprimer,Merced,,,,,,,,,
137,"demarche
tentee",Entendre-,tentee,,,,,,,,,,
138,Ooah,general,general3,,,,,,,,,,
139,Hier,Sierra IIadre,Sierra Madre les Indiens,Sierra Madre,,,,,,,,,
140,hiver7,sauvee.3:8,sauverail,,,,,,,,,,
141,Revoluuon,Voil,Devois,Voilh,lapercevoir,,,,,,,,
142,"calle del Rosario,-",crcix,rue du Rosaire,Salvator Rosa,dis-2l,,,,,,,,
143,Maltre,disparaltre,baltre,,,,,,,,,,
144,leurspoignards,Leschasseurs,Seurs,,,,,,,,,,
145,.--c,cetle expedition,Conditiou,lexpedition,,,,,,,,,
146,Francais,I o,France,Francs-Yeux,,,,,,,,,
147,Congres,Malgre,malgre,gre,,,,,,,,,
148,retirez,Derrire,i-,ecria,decrire,,,,,,,,
149,plusvariee etla,Lapluie,Plus,,,,,,,,,,
