cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104
40,"Chão de
Umaçãs","eão de
Nemeia",Fumaça,Chão de Umaçãs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Cais do Sodré,reino do Céu,Poço do Borratém,casa do capão,Togo,malícia do Tentador!,Lado do Coreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Carne,Es,ornear,CARNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"CRIME DO
PADRE AMARO",PADRE AMARO,CRIME D9 PADRE AMARO,padre Amaro,CRIME DU PADRE AMARO,"CRIME D9 PADRE AMARO

reu",CRIME DE PADRE ANARO,CRIME DÓ PADRE,CRIME DE PADRE AMARO,Tiópia,PADRE AMARÚ,CRIME DU PADEÉ AMANHÚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Una,rua da Misericórdia,"rua da Miseri-
córdia",Misericórdia,depósito da Misericórdia,"rua
da Misericórdia",Misericór-,sos da Misericórdia,Misericórei,"rua da
Misericórdia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Barrosa,Lubin,marroquim,"estrada da
Barrosa",Barroca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Tossicou,tos,Minutos,Gastos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,insónia,Polónia,Babilónia,Pol-,Santa Apolónia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Calcada,Arcada,Carcavelos,anasarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Cáspite,Boas-noites,Subvenite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Abalou,Job,Heliogabalo,Ce,Pombal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"casa da
senhora marquesa de Alegres",Vaz,"Nossa
Senhora das Dores","Nossa
Senhora de Lourdes","Nossa
Senhora","Nossa
Senhora de Lourdes...","Nossa
Senhora!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Libaninho,Libaninho de luvas pretas,"Libaninho mur-
morava",Libano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Bairro Alto,mar alto,Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Saiba,saia branca,Saias,pilar branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Setembro,Ir,Sol de Setembro,Hotel de Ville,"Sol
de Dezembro",Sol de Maio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Santa,Santa Catarina,"santa
de Amélia",Santa Brígida,Santa Cecília,Santa Amélia,"Santa Joana
de Aveiro",Santa Bárbara,santa cruz,Santis-,Santa-,Santarém,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Sobre-,Sobe,Sobro,Nobres,Abre,Pobre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,paris,Exc,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Roda,Civilização,Relação,Civilização...,Imitação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Figueira,estrada da Figueira,Trigueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Parado,Tirado,Assombrado,Amodorrado,Tira-mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Chafariz,planeariam,Proletariado,Faria,Mouraria,Marialva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Quieta,Aquilo,Esquife,quintal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Recu-,Recolheu,Pareceu-,Recru-,Emagrecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,fauteuil,LA FAUTE,RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,botica,Política Estrangeira,Jítica,Escolástica,Política,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,saberáócio,Sabe,Saberá,Sabe-hands,Sabes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"CRIME DO PADRE AMARO

Dorme","CRIME DO PADRE AMARO

rabeca","CRIME DO PADRE AMARO

Outras vezes",CEIL DO PADRE AMARO,CRIME DO PADRE “AMARO,CRIME DO PADRE ANARO,"CRIME DO PADRE AMARO
Que João Cabral da Silva Alongando
Mendonça de Gouveia","CRIME DO PADRE AMARO

pássaros",CRIME DO PADRE ALVARO,U CRIME DO PADRE AMARO,"CRIME DO PADRE AMARO

Dias","CRIME DO PADRE AMARO

Amélia","CRIME DO PADRE AMARO

tas",CRIME DO PADRE AMAEU,"CRIME DO PADRE AMARO

Assunção","CRIME DO PADRE AMARO

grande","CRIME DO PADRE AMARO

Amaro","CRIME DO PADRE AMARO

tam","CRIME DO PADRE AMARO

Prevenir-a","CRIME DO PADRE AMARO

mesa","CRIME DO PADRE AMARO

Da terrina","CRIME DO PADRE AMARO

cabo","CRIME DO PADRE AMARO

Senhora da Boa Viagem",CRIME DO PADRE AMAR,"CRIME DO PADRE AMARO

cal","CRIME DO PADRE AMARO

Ta-a","CRIME DO PADRE AMARO

E","CRIME DO PADRE AMARO

ava","CRIME DO PADRE AMARO

vos",CRIME DO PADRE AMARO “,"CRIME DO PADRE AMARO

radiante",CRIME DO PADRÉ AMARO,CRIME DO PADRE AMADO,"CRIME DO PADRE AMARO

vizinho","CRIME DO PADRE AMARO

Queria","CRIME DO PADRE AMARO

sa","CRIME DO PADRE AMARO

Coimbra",PRIOR DO PADRE AMARO,"CRIME DO PADRE AMARO

universo",CRIMEÉ DO PADRE AMADO,"CRIME DO PADRE AMARO
cortininhas de cassa",CRIME DO PADRE,"CRIME DO PADRE AMARO

do jantar",CRIME DO PADRE AMARO 5,"CRIME DO PADRE AMARO

sal am","CRIME DO PADRE AMARO

delírio de melro feliz","CRIME DO PADRE AMARO

da Maia","CRIME DO PADRE AMARO

boulevard da Bastilha",CRIME DO PADRE AMARÓ,"CRIME DO PADRE AMARO

lata","CRIME DO PADRE AMARO

Desprendeu-se","CRIME DO PADRE AMARO

a D. Josefa","CRIME DO PADRE AMARO

lhas","CRIME DO PADRE AMARO

de fósforos","CRIME DO PADRE AMARO

a Gastos e","CRIME DO PADRE AMARO

uras","CRIME DO PADRE AMARO

padre","CRIME DO PADRE AMARO

paixão",CRIME DO PAdRE AMARO,CrIME DO PADRE AMARO,"CRIME DO PADRE AMARO

Godinho","CRIME DO PADRE AMARO

V. S.*","CRIME DO PADRE AMARO

senhor padre Natário",CRIME4 DO PADRE AMARO,"CRIME DO PADRE AMARO

chibatava","CRIME DO PADRE AMARO

cabeludas","CRIME DO PADRE AMARO

dos vales","CRIME DO PADRE AMARO

gar","CRIME DO PADRE AMARO

& cabeceira","CRIME DO PADRE AMARO

verde do candeeiro","CRIME DO PADRE AMARO

Atirou-lho","CRIME DO PADRE AMARO

de santas","CRIME DO PADRE AMARO

Instintivamente","CRIME DO PADRE AMARO

snr",CRIME DO PADRE AMARG,OPIME DO PADRE AMARO,"CRIME DO PADRE AMARO

Chamou",OLÍME DO PADRE AMARO,"CRIME DO PADRE AMARO

alta","CRIME DO PADRE AMARO

Novembro","CRIME DO PADRE AMARO
Saia","CRIME DO PADRE AMARO

Aldeia",OERIME DO PADRE AMARO,"CRIME DO PADRE AMARO

o Estótico","CRIME DO PADRE AMARO

párico",CRIME DO PADRE AXWXRO,"CRIME DO PADRE AMARGO
de Agosto","U CRIME DO PADRE AMARO

com irôniá","CRiME DO PADRE AMARO

— Prudência","CRIME -DO PADRE AMARO

Amaro","CRIME DO PADRE AMARO

festa","CRIME DO PADRE AMARO

senhor",CRINA DO PADRE AMARO,"CRIME DO PADRE AMARO

vista...",CRiME DO PADRE AMARO,CRIME DO PADRE AMARO,CRIME DO PADRE AMAEG,"CRIME DO PADRE AMARO

negra","CRIME DO PADRE AMARO

grafo","CRIME DO PADRE AMARO

da serra!","CRIME DO PADRE AMARO

cinta","CRIME DO PADRE AMARO

penitência","CRIME DO PADRE AMARO

mudeando","CRIME DO PADRE AMARO

de murmuração!",CRIME DO PADRE AXARO
69,Nossa Senhora das Dores,Nosso Senhor,"Nossa Senhora
das Dores",Nossa Senhora da Visitação,Casamento de Nossa Senhora,Nossa Senhora,Nossa Senhora da Saúde,Nossas Senhoras,Nossa Senhora do Rosário,"Nossa Senhora
da Ermida",Nossa Senhora do Rosário...,"Nossa Senhora das
Sete Chagas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Tolices,Joli,Pieguices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Santíssimo
Sacramento",Santíssimo Sacramento,Casamento,Certíssimo,Santíssimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Arco do Triunfo,Circo,Arco,Arco...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,pac,pachorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Ergueu-,enxerga,Segue-,Burgueses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Deus,bom Deus!,—,Adeus,causeuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,João Eduardo,Oão Eduardo,"Arco
João Eduardo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,S. Pascoal Bailão,Baixa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,para-,Paraiso,paraiso,Ai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,S,Repousar,Sousas,"rua das
Sousas",Sousa,"rua
da",rua da,"rua dos
Sousas",rua dos Sousas,rua das Sousas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Dar
Filha","Dar
Filha da mentira",Milhares,Filosofia,Filho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Econ-,Con-,Aconselhou,Convido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Gonçalves,Salve-Rainha,Salve-Rainhas,Hoc,"Coroação da
Rainha Vitória",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Paciência,Viuência,Prudência,Providência,Viaência,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Alcântara,Levantou,Levantaremos,Tevantaria,Evangelhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,S. Carlos,Carlos,Carlota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Corja,Corpus-Christi,corujas,Coroa,Coreto,cor=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,taciturnidade dos santos,Eternidade,Brutalidades,"Eternidade dos
Louvores","Eterna
Dor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,S. Crisólogo,Pobre de Cristo,pobre de Cristo,Comendador de Cristo,"Pobre
de Cristo",Pobre Teles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"tam-
bém",Tamanho,Ta,Amanhã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Tomôzinha,sôzinha,Ameliazinha,Ameêvizinha,"Amêlia-
zinha !",Tomózinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,latão,Indigestão,Indignas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Vivia,Haviam,Xavier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,suor,cordeiro,Vimeiro,Outeiro,Carreiro,marmeleiro,Terreiro,Sátiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Espavorida,Autoridade,Espaçava,Espanha,Nutrida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Mis-
riaórdia",Concórdia,Quorum,tit,Córdova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,NPIcaniEntEs,genebra,Gente-,Mente,Repente-,Sol do Poente,S. Vicente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Divagava,Abafava,embasbacava,Cavalgadura,Odiava-o,Arfava,Causava,palrava,Dava,Costurava,Acumulava,chocalhava,Achava-o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,S. João da For:,João,João-,Fé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,prodígi,Provarei,Apro-,Proveça,4O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Olharé,Olha,Olhe,Encolhia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Lisboa,Lisboa...,Boa,estrada de Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Trento,Sarmento,Violento,Talento!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"snr*
D. Maria da Assunção",Ossuna,Assunção,Extrema-Unção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Juro,Europa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Juras,zás,Brasil,tonturas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Corsegaça,Cortegaça,da-Corsegaça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Viçao,cambraia,Coimbra,coimbra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Aos-,pos-,Raposo,Posso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,És,— Quebrou,rouba,— Quem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Alameda Velha,Alameda,alameda,Lambão,Infame,Peixoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Perdão,Perdoe-me,Perdoa,Perderam-me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,cova da enxerga,Senhora da Incarnação,Encarnação,Senhora da Encarnação,São da Encar-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Mundo,Dois Mundos,Secundô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,bric-à-brac,Benedicat,Rica,Ricas,República,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Rabicho,Jabial,Sabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Estado,Boa besta,Estás,estã Sul,Estimava,Est,Estive,escreveste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Poiais,Chiado,Apoiado,"cemitério
de Poiais",Póôr-se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Gouvei,Gouveia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,deserta,Decerto,Alerta,Valeu,Sertaneja,Aperta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Gratid,Simpatia,Fatigou,fatima,Inimigo,Digo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,gerina,Medicina,China,Medroso,Paulina,Mur-,Dulcineia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,baça,serra de Alcobaça,Alcobaça,Sé,"Brito de
Alcobaça",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Cruz,Cruzes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,nísia,Dioísia,Diosísia,Dioísia...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
