cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
86,Noblesso,blesse,Noblesse,Ia,Nobles,blessee,,,,,,,,,
87,n5ineidinais,elxe,"yeu
e narais ianais cru",Fanais,laquais,nais,nai,Franais,la288,,,,,,
88,brossee,Rmssee,ivartisseent,Russe,ob,,,,,,,,,,
89,Hollandais,Ferdnand,Normandie,passage Sandrie,gand,Qand,,,,,,,,,
90,"Pa  e es
meuse heritiere de Besangon",giitantBesangan,A Besangon,h Besangon,Besangcon,Besangon,,,,,,,,,
91,wiiiipisd,amout,iiiia,ifiii;liaa,adji 'i  hiiiii ra i,iiii hi viiiille,iGiiaiiiii,g2le.eliii-iGC,viiiille,,,,,,
92,ase abt6 do la Dent de Vilard,Dent de Vilaird,,,,,,,,,,,,,
93,Fgfnes,nesiue,Quoiue,lesracines,cesi1,,,,,,,,,,
94,Quatre-Can-,lac des Quatre-Cantons,lac des Quatre-Cantonsa,,,,,,,,,,,,
95,Andantsz,Nantua,Fantaisie,renoncant,enfant.-,Brabant,,,,,,,,,
96,L SIkcLE,SIBCLE,Cle,,,,,,,,,,,,
97,NEE VIIERCAII,Aii,neeitaii,aiiGi,sausaiianta,,,,,,,,,,
98,ralliee,entralne,Libral,tralna,,,,,,,,,,,
99,reputalionsee,Reslauralion,Restauralion,Mn,Trivualio,,,,,,,,,,
100,st ous aveepeur d'una lnttel,Avee,avee,suls,,,,,,,,,,,
101,llla,Villa-Diodati,Alert lla,brillanta,Sije,atisve,Nilla-Diolati,acsa,Schmuke,,,,,,
102,reunion,veu de la reunion preparatoire,aueun,,,,,,,,,,,,
103,gseegir,Girar-,Ar-,I'GGir,Irappent,,,,,,,,,,
104,famlle,Illle,sueces1 Blle,clle,llle,l4glle,Zlle,Blle,Dulley,Clle,triomphel Plus olle,olle,,,
105,Communal,com-],comnime pet,Comle,Comnte,Combien,,,,,,,,,
106,Scey,tceys,As-tu ta,Ee,Hiaeys,Riceys,,,,,,,,,
107,Bugey,ugenie,ByE.,Eugenie,Marie-Eugenie,Bugenie,genie,,,,,,,,
108,MIa-,Bondet,gondesse,blonde,,,,,,,,,,,
109,cliont,Tes,"au-
Iontes",gte-saues erontes,luiont,,,,,,,,,,
110,Cerci,cerclo,Cercle,,,,,,,,,,,,
111,dilt-on,dilt,,,,,,,,,,,,,
112,Genbve,fl,Genbeve,Genye,largens,,,,,,,,,,
113,signiie,viie,Iimniiie,alteignit,niieasnioe,,,,,,,,,,
114,Romains,Ro-,II,romaire,aqueduc des Romains,Jerome,,,,,,,,,
115,Italienne,Italien,Italie,Italiens,Italiensl,alienee,l'Italie,,,,,,,,
116,A h0pital,tALzAic,p6-,Talma,,,,,,,,,,,
117,In chro,confratermte,A0,caratere d'in yjoe,eis ehe medme d'ssa,hate,,,,,,,,,
118,sanva,griseltes de Besancon,Besacon,A Besancon,Besancon,Besan-,Bosanco,Desancon,,,,,,,
119,Ilalienne,Pilale,Ilaliene,lacs d'Ilalie,Ilalie,de l Ilalie,vialime,,,,,,,,
120,avaoir,Bee,avatt,la Havane,ecria,patti,W,,,,,,,,
121,Desenchanfe-,chanccs,GANCY,echanper,Lhl,Ca,enchanles,,,,,,,,
122,riolece de lorag,"aulorite
 dea",rue de Ne-,baie de Nuples,Ia tte de san,venez  lhotel de Rupl,oup de deux heu-,manege de la vie,rohe de chambre de merinos,evue de 'Est,toile de Ilollandel,,,,
123,septiemeiour,bapteme,bleme,ble,Boheme,,,,,,,,,,
124,"g.leeggegg,,g,-,g,]L","eeegg,,gg","g,,gg","g:,eeg1",,,,,,,,,,,
125,SG G6inr,aanoeu,noes,Esl-e oes tedeschi,,,,,,,,,,,
126,hau,hauto,Cuton,vsoyaut,Autriche,haut-le-corps,,,,,,,,,
127,belises,-Lisek,Jallklis,.'f,Eglise,lEglise,journalisle,,,,,,,,
128,niiuie,cuie,inouie,cuduie,,,,,,,,,,,
129,gota,Gothard,got,,,,,,,,,,,,
130,h0tel do Rupt,Rupt,upt,XI,,,,,,,,,,,
131,Balthasar,Charnathan,Nathan,g.F,Mathurns,Ies de Nathan,Nathn,,,,,,,,
132,"y,,g","g,,,,g22","a3
.:;,:,,,,,.:A",Lo,"P%2,g,,,,,%;;%,eee",,,,,,,,,,
133,nuit2,cheminee,ft devinee,temino,satinees,cachemire,gomine,,,,,,,,
134,Brie,.(nee princesse Soderin,Briinen,brin,thurins,,,,,,,,,,
135,Iod,PEg,Jutts,R MIcuB,Dicu,,,,,,,,,,
136,Eoulogne,Boulogne,pos,bois de Boulogne,ouloir,de Boulogne,,,,,,,,,
137,isiG,ye,iiisi iya ns anroci,,,,,,,,,,,,
138,lac des Rouxey,Les negocians,les Rouxey,Rouxey,Les Rouxey,Rouxrer,cou-sins roquges,terre des Rouxey,,,,,,,
139,Philomlne,Philombene,Cus,Philomn,Philomue,Philombne,Philo-,Philomee,Philomno,hilomae,,,,,
140,Watteille,teil,watteile,attentioi,,,,,,,,,,,
141,Vandenesse,Wandenesse,bandenne,Yandenesse,Ias,Vandenessse,,,,,,,,,
142,neanmoihs,Neanmoins,gtt,temoin,Salins,,,,,,,,,,
143,Iaoul,Raonl,Ga,Raoul,Raouil,Ge-,Raooul,gg,aoul,,,,,,
144,He,Comite-Boucher,Mon cher,Touchee,Boucher,Vauchel-,oher,Touches,,,,,,,
145,lui1,luil,Ayg,el,,,,,,,,,,,
146,Cimaros,martrs,mart,Impartial,,,,,,,,,,,
147,Duraht,Jura,,,,,,,,,,,,,
148,curiosile,justile,Dilet,Tilet,sortileges,,,,,,,,,,
149,Marseille,Iareille,Aa,A Iareille,Inerveilleux,,,,,,,,,,
150,Cour,Comite-Chavoncourt,Chavonicourt,Chavocourt,Chavoncourt,chavcourt,Chavon-,Chaoncourt,,,,,,,
151,Quillet,CC,Tillel,Tillet,Iillet,Gentillet,,,,,,,,,
152,6nini,Enin,Ialienines,enin,,,,,,,,,,,
153,Lecou-,beacoup,Coulis-,,,,,,,,,,,,
154,Danle,eg,indiquanlt,Pendanl,Abranles,,,,,,,,,,
155,appa-]-Bt,paratt,apparal,,,,,,,,,,,,
156,Prefeclure,Prefeclure eprouva lo,Prefecture,,,,,,,,,,,,
157,Pouiqui,Quinii,Qui,nequin,,,,,,,,,,,
158,enissant  io u ssg,Is,passans,Croissant,rue du Croissant,Crois-tu,,,,,,,,,
159,adiu,Adien,,,,,,,,,,,,,
160,Angeliquo,germanico-gallique,aristocraliques,dAnegeliue,iut,Angelique,poliliquo,Marie-Angelique de Granville,Marie-Angelique,Republique,,,,,
161,Nouvelle publiee,Nouvelles,nouvelle mariee,ouv-nt,Nouvelle,Mouvele,,,,,,,,,
162,Ei5G.IG,Augleterre,aeugle,B,fievre,Angleterre,lAnglelerre,,,,,,,,
163,caleche Francesca `divinemiint mise,it Francesca,Francescn,FrancescaI,C9SCa,naivemenl Francesca,Francesca,Tances,Francescea,,,,,,
164,Gii,GinGiiiiGGiti,cGGEiiiGG,GiiiG,GiGGiiiridf,,,,,,,,,,
165,niens,io,metaphysiciens,"bau-
- Tiens",Tiens,o-,,,,,,,,,
166,astignac,Raslignac,Rastignac,Marlignac,rast,,,,,,,,,,
167,Rehecea,volers,eceole,rece,,,,,,,,,,,
168,"naiia iihi
Iere",entiere,singuliere,salieres,culiero,Moliere,lumieressur,pemiere ioie ue,Mloliere,niere,,,,,
169,faus-e muette,Lettes,riette,lazr,lende- ] riette,,,,,,,,,,
170,ohil,hilmee,Ilrmee,,,,,,,,,,,,
171,Genevojs,lae e Geneve,Geneve,Genevo,Nevers,viendrvez  Geneve,,,,,,,,,
172,Aoures,Nure,Laure,fgures,fleuree,Heureuxt,peinlure,,,,,,,,
173,ninie,Virginie,Wyiriciinie,Madinier,Modinier,Mainier,Teniers,,,,,,,,
174,Leloquence,provincee,Providence,Florence,proflt,la Provence,,,,,,,,,
175,Ras-,rantiras,Tnti,iran,,,,,,,,,,,
176,Pailez,nailt,attrailt,Mail,Ail-,,,,,,,,,,
177,cetle sainte,cetto,cetle,h6-,Cetle,A cetle,etle,,,,,,,,
178,"Fran-
aflection",lBsperance,Francesta,Fran-,de France,france,la France,France,,,,,,,
179,cenl,denle,posenl,enlrer,menl,sen,send ssne st l piiei,,,,,,,,
180,Rloiolphe eutalirs ] creuture,lac de ] ture,Magistrature,turelles,oiture,,,,,,,,,,
181,fes,",gggA.el FGnG'a'iGs Gi
-,,1Gi",iGs Gi,pn,,,,,,,,,,,
182,aGaiGrGGi,egaree,legain,Lekain,legr,,,,,,,,,,
183,Chartreux,Chartreuse,De la Grande-Chartreuse,Grande Chartreuse,Chartreax,,,,,,,,,,
184,de Saxe,Saxarn,st sa,do Saxe,Saxe,,,,,,,,,,
185,Nahan,Nalhan,alhanut,,,,,,,,,,,,
186,Ia frisre,misre,envosre ar Ia,,,,,,,,,,,,
187,Saintes-Ceciles,Ceciles,Iuliles,Sicile,2:2::EECI,,,,,,,,,,
188,bDe,du Doubs,douzibeme annee,Doubs,Dour,,,,,,,,,,
189,Celebrite,Sociele,E:;:e,gteleygee,poele,requeles,pele-mele,Aeele,obtaeles,Cele,ele,Epictele at Spar-,,,
190,Rocher,La riliu,La Roche Hugon,rue du Rocher,La Roche,,,,,,,,,,
