cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
89,h6-,p6-,,,,,,,,,,,,,,,,,,,,,,
90,aGaiGrGGi,gafte,Ga,Ga1,Argaiolo,legain,,,,,,,,,,,,,,,,,,
91,"g.leeggegg,,g,-,g,]L","eeegg,,gg","g,,gg",,,,,,,,,,,,,,,,,,,,,
92,hau,hauto,Cuton,vsoyaut,Autriche,haut-le-corps,,,,,,,,,,,,,,,,,,
93,malheres,Pere-La-],piresrue,Irent,mres,le caire,spheres,Ireres,eseree etpesu,riviberes,vire,lumieressur,fgures,lontaires,,,,,,,,,,
94,niiuie,cuie,inouie,cuduie,,,,,,,,,,,,,,,,,,,,
95,Naha,Nahan,Nalhan,,,,,,,,,,,,,,,,,,,,,
96,Tinti,Briinen,Caroline,Tine,binel d'Alhert,satinees,scne,succinet,,,,,,,,,,,,,,,,
97,h0tel do Rupt,Rupt,upt,,,,,,,,,,,,,,,,,,,,,
98,Iod,sion,io,curiosile,reunion,Io,"biiou
-",Ioeux,Diion,,,,,,,,,,,,,,,
99,Charnathan,Nathan,Mathurns,Ies de Nathan,pn,Nathn,,,,,,,,,,,,,,,,,,
100,cbamhre,fenelre d sa hamhre,la Havane,,,,,,,,,,,,,,,,,,,,,
101,voyent,Bayeux,craoye,ye,ByE.,sv onnuyes,laye,viye,,,,,,,,,,,,,,,,
102,"y,,g","g,,,,g22",A,"a3
.:;,:,,,,,.:A","P%2,g,,,,,%;;%,eee",,,,,,,,,,,,,,,,,,,
103,cheminee,ft devinee,temino,cachemire,gomine,,,,,,,,,,,,,,,,,,,
104,Iamais,maison Janrenaud,Jamais,damas,-Mais,amaht,,,,,,,,,,,,,,,,,,
105,Brie,rieuse,TuSe,Andrieux,serieux,danseuse,sieuse,,,,,,,,,,,,,,,,,
106,Lh,Belzebulh,alhanut,Lhl,,,,,,,,,,,,,,,,,,,,
107,tintemens,nensire,renseignemens,momens,leioenseisfeton,condimens,Frnse,torrens,alteignit,serpens,,,,,,,,,,,,,,
108,Eoulogne,Boulogne,bois de Boulogne,ouloir,de Boulogne,,,,,,,,,,,,,,,,,,,
109,In chro,Perugin,SG G6inr,brin,intrigue2,In,le Rhin,indiquanlt,Lekain,Bnfin,thurins,Salins,Rhin,,,,,,,,,,,
110,neanmoihs,Neanmoins,temoin,,,,,,,,,,,,,,,,,,,,,
111,Iaoul,Raoul,Raouil,Raooul,aoul,,,,,,,,,,,,,,,,,,,
112,nailt,attrailt,Mail,Ail-,jouissailt,,,,,,,,,,,,,,,,,,,
