cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
183,Santo Ignacio,Leia Santo Ignacio,"PORTO

LIVRARIA INTERNACIONAL DE ERNESTO CHARDRON",Leia Gavantus,,,,,,,,,,,,,,
184,Turrino,Title,Leituras,tonturas,,,,,,,,,,,,,,
185,Pimentas da Pojeira,Moço,Poço das Bentas,Poço do Borratem,benta!»--E,,,,,,,,,,,,,
186,escóla,Ólaré,réo,,,,,,,,,,,,,,,
187,caricias,Immobilidade,adormecida,Auctoridade,Brutalidades,aquella caridade,Nutrida,Caridade,solemnidade,,,,,,,,,
188,V. s.^a,v. s.^a Sinto,Sinto,,,,,,,,,,,,,,,
189,És,Nosso Senhor,Nossa Senhora da Boa Viagem,Casamento de Nossa Senhora,"sala branca do
senhor conde de",Nossa Senhora,"Nossa
Senhora das Dôres","Nossa Senhora te
valha!","Nossa Senhora
das Dôres",Nossa Senhora da Saude,casa da senhora condessa de,Senhora do Rosario,Nossa Senhora do Lourdes...,Nossa Senhora do,Nossa Senhora da Ermida,Nossa Senhora das Sete Chagas,Nossa Senhora das Dôres,
190,Laboranti,Sim,Santissima,Santissimo Sacramento,Santissimo,missanga,"Santissima
Trindade,--quando ella",Santíssimo,,,,,,,,,,
191,Traste,viella do castello,monte do Castello,Castello,Castaldus,Carcavellos,,,,,,,,,,,,
192,necessita,Necessitava,,,,,,,,,,,,,,,,
193,vêr-me,lêr,vêl-os,Quero vêr,pêra,Vêr-te,Vêr,crêr,cotovêlo,,,,,,,,,
194,lampeão,parochia,Europa,Amparo da botica,appareeeu,Amparo,"Amparo da
botica",Amparosinho,,,,,,,,,,
195,l'Abbé,lugubre,Nobres,Abre,,,,,,,,,,,,,,
196,jardim do Paço,"offerta do
coração do teu amante",Pedroso,Sávedra,pedra do paço,hombreira do pateo,,,,,,,,,,,,
197,bocejando,dôce,socega,Fé,bocejo,Tejo,,,,,,,,,,,,
198,Arriscamo-nos,Vamo-nos,,,,,,,,,,,,,,,,
199,pallido,Nepal,pallio,palmas,,,,,,,,,,,,,,
200,impenitencia,Silencio,Vicencia,Agencia Havas,"Arvore da
Sciencia",Consciencia,Providencia,Pensei,Penitencia,impudencia,,,,,,,,
201,Batalha,Olhavam-n'o,Olha,s'orgulhar,Milhares,Esguelhas,chocalhava,lha,Bastilha,,,,,,,,,
202,Tiberio,Osorio,Offertorio,Breviario,canario,Primò,aceio,lavatorio,sacrario,Rio,Purgatorio,,,,,,,
203,"National
Library of Portugal",Redistribution,Additional,Donations,National,,,,,,,,,,,,,
204,Parto da Santa Virgem,Virgens,Santa Virginia...,Santa Virginia,Santa Virgem,,,,,,,,,,,,,
205,Fatigou,Inimigo,Golgotha,Digo,Trigoso,,,,,,,,,,,,,
206,Sobros,Raposo,Gansoso,Gansosinhos,Nervoso,Gansosos,,,,,,,,,,,,
207,triumphar,"Arco
do Triumpho",triumpho!,triumpho,,,,,,,,,,,,,,
208,"Vazes,--",Marrases,Marrazes,,,,,,,,,,,,,,,
209,luzir,falua,Lully,lua,,,,,,,,,,,,,,
210,Cegonha,egoa baia,egoa,Egypto,,,,,,,,,,,,,,
211,Machinalmente,jornaes,China,machinaes,,,,,,,,,,,,,,
212,Sôa,corujas,Escorpião,Corôa,corôa,,,,,,,,,,,,,
213,bom Marques,arquejo,Questões,Vasques,Torquemada,Marques,,,,,,,,,,,,
214,Elyseos,Campos,Campos-Elyseos,,,,,,,,,,,,,,,
215,Indias,Indigestão,dir-lin,Indignus,din,brandia,India,invadia,,,,,,,,,,
216,"leia
Garriffaldi",Baleia,Leiria:--«Mas,Leia a _Historia,Onde Leiria,Sé de Leiria,Preferiria,Leiria,,,,,,,,,,
217,lençoes,Ninon de Lenclos,Torre de Babel,valle de lençoes,,,,,,,,,,,,,,
218,insomnia,"Aquella
calumnia",calumnias,Calumniou-me,caluda,malucar,calumnia,,,,,,,,,,,
219,bom Silverio d'aquelle,silvas,Silverio,bom paio,bom Silverio,,,,,,,,,,,,,
220,Impaciente,"S. Vicente de
Paulo",Serpente,S. Vicente,,,,,,,,,,,,,,
221,"voltou,--e",aqui!--E,é!--E,,,,,,,,,,,,,,,
222,Encontrava,Medicina,Introito,Cintra,,,,,,,,,,,,,,
223,VIII,III,,,,,,,,,,,,,,,,
224,Perdão,Perdôe-me,Aperte,Perderam-me,Perdôa,,,,,,,,,,,,,
225,Tenho,santa senhora,"Nossas
Senhoras",Senhora da Alegria,boa senhora,"Nosso
Senhor","Nossa
Senhora",Tenho-lh'o,minha senhora,"boa
senhora",Senhora Mãi,Senhora das Dôres,Senhora,,,,,
226,Casa Havaneza,aza do capão,casacão,idéa do conego,tranquilla casa do conego,casa do conego,,,,,,,,,,,,
227,Pavonio,suor,Espavorida,!,pavor,Tavoras,,,,,,,,,,,,
228,seminario,d'exame,d'examinar,,,,,,,,,,,,,,,
229,buxo,côxo,,,,,,,,,,,,,,,,
230,Judéa,idéa das devotas,"idéa
de Jesus",idéa,,,,,,,,,,,,,,
