cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
140.0,South-,Southampton Row,Rochampton,Brompton,Roehampton,Southampton,Southampton Gaol,,
141.0,Bengal,Old England,Anglais,England,,,,,
142.0,Machiavellian,Helvellyn,Nivelle,,,,,,
143.0,Meejor,Major,,,,,,,
144.0,Schlippenschloppen,Puppets,,,,,,,
145.0,the H. H.,the Straight Waistcoat,the Valley of Diamonds,the dark sea,the South Sea,the St. Leger,the Red Book,the Rock of the School,the Rue Royale
146.0,Goneril,Wineries,Janissaries,,,,,,
147.0,Boney,Glenmalony,Maloney,,,,,,
148.0,Berlin,Flint,Ealing,Belinda,Ballinasloe,Dublin,,,
149.0,Methusalem,thou,Methodist,,,,,,
150.0,Wayne,polynesia,Ste,Steyne,,,,,
151.0,zkich,Metternich,Munoz,Munich,,,,,
152.0,Cannes,palau,Lausanne,,,,,,
153.0,CRAWLEY,Rawdon,Crawley,CrAwley,Don Juan,Rawdon Crawley,,,
154.0,us City,City,"the City, Sir",the City of London,Japan,the City,,,
155.0,Spoon,Silvery,Liverpool,,,,,,
156.0,Rotterdam,Jupiter,Peterwaradin,Exeter,,,,,
157.0,Persia,Europe,Talavera,Opera,,,,,
158.0,Italy,Neapolitan,Oxonians,Vanity,Sultan,Iphigenia,Titania,,
